PartId;PropertyTypeId;FormatId;PropertyName;PropertyValue
8;2;1;Thread diameter;1/4
8;1;1;Length Under Head;1/2
8;1;2;Hexagon Across Flat;0.438
9;2;1;Thread diameter;1/4
9;1;1;Length Under Head;5/8
9;1;2;Hexagon Across Flat;0.438
10;2;1;Thread diameter;1/4
10;1;1;Length Under Head;3/4
10;1;2;Hexagon Across Flat;0.438
12;2;1;Thread diameter;5/16
12;1;1;Length Under Head;5/8
12;1;2;Hexagon Across Flat;0.500
13;2;1;Thread diameter;5/16
13;1;1;Length Under Head;3/4
13;1;2;Hexagon Across Flat;0.500
14;2;1;Thread diameter;5/16
14;1;1;Length Under Head;7/8
14;1;2;Hexagon Across Flat;0.500
21;2;1;Thread diameter;1/4
21;1;1;Minimum Length of Thread;3/4
21;1;1;Length Under Head;2 1/4
21;1;2;Hexagon Across Flat;0.438
23;2;1;Thread diameter;5/16
23;1;1;Minimum Length of Thread;7/8
23;1;1;Length Under Head;1 1/8
23;1;2;Hexagon Across Flat;0.500
25;2;1;Thread diameter;5/16
25;1;1;Minimum Length of Thread;7/8
25;1;1;Length Under Head;1 1/4
25;1;2;Hexagon Across Flat;0.500
28;2;1;Thread diameter;5/16
28;1;1;Minimum Length of Thread;7/8
28;1;1;Length Under Head;1 1/2
28;1;2;Hexagon Across Flat;0.500
30;2;1;Thread diameter;5/16
30;1;1;Minimum Length of Thread;7/8
30;1;1;Length Under Head;1 3/4
30;1;2;Hexagon Across Flat;0.500
32;2;1;Thread diameter;5/16
32;1;1;Minimum Length of Thread;7/8
32;1;1;Length Under Head;3
32;1;2;Hexagon Across Flat;0.500
33;2;1;Thread diameter;5/16
33;1;1;Minimum Length of Thread;7/8
33;1;1;Length Under Head;4
33;1;2;Hexagon Across Flat;0.500
37;2;1;Thread diameter;3/8
37;1;1;Minimum Length of Thread;1
37;1;1;Length Under Head;1 3/4
37;1;2;Hexagon Across Flat;0.563
39;2;1;Thread diameter;3/8
39;1;1;Minimum Length of Thread;1
39;1;1;Length Under Head;2 1/4
39;1;2;Hexagon Across Flat;0.563
41;2;1;Thread diameter;3/8
41;1;1;Minimum Length of Thread;1
41;1;1;Length Under Head;3
41;1;2;Hexagon Across Flat;0.563
42;2;1;Thread diameter;3/8
42;1;1;Minimum Length of Thread;1
42;1;1;Length Under Head;3 1/4
42;1;2;Hexagon Across Flat;0.563
44;2;1;Thread diameter;3/8
44;1;1;Minimum Length of Thread;1
44;1;1;Length Under Head;4
44;1;2;Hexagon Across Flat;0.563
45;2;1;Thread diameter;3/8
45;1;1;Minimum Length of Thread;1
45;1;1;Length Under Head;4
45;1;2;Hexagon Across Flat;0.563
46;2;1;Thread diameter;7/16
46;1;1;Minimum Length of Thread;1 1/4
46;1;1;Length Under Head;2 3/4
46;1;2;Hexagon Across Flat;0.625
79;3;1;Thread diameter;1/4
79;1;1;Length Under Head;5/8
79;1;2;Hexagon Across Flat;0.438
83;3;1;Thread diameter;5/16
83;1;1;Length Under Head;7/8
83;1;2;Hexagon Across Flat;0.500
125;2;1;Thread diameter;5/16
125;1;1;Minimum Length of Thread;27/64
125;1;1;Length Under Head;1/2
125;1;2;Hexagon Across Flat;0.500
142;2;1;Thread diameter;3/8
142;1;1;Minimum Length of Thread;13/16
142;1;1;Length Under Head;13/16
142;1;2;Hexagon Across Flat;0.565
147;3;1;Thread diameter;5/16
147;1;1;Minimum Length of Thread;7/8
147;1;1;Length Under Head;1 5/8
147;1;2;Hexagon Across Flat;0.500
151;2;1;Thread diameter;1/4
151;1;1;Minimum Length of Thread;3/8
151;1;1;Length Under Head;13/16
151;1;2;Hexagon Across Flat;0.375
